Site,Disturbance,Exclosure,Date,Date_cln,Year,High_cm,Low_cm,Area (m^2),Total Weight (g),Total Weight (g/m^2)
west fork,fire,ungulate ex,2018-07-02,2018-07-02,2018,38.75675675675676,13.594594594594595,0.10000000000000002,44.03333333333333,440.3333333333333
west fork,fire,ungulate ex,2019-07-02,2019-07-02,2019,42.54054054054054,19.54054054054054,0.10000000000000002,32.199999999999996,322.0
west fork,fire,ungulate ex,2020-07-14,2020-07-13,2020,31.31578947368421,11.289473684210526,0.10000000000000002,26.476666666666663,52.953333333333326
west fork,prairie dog,livestock ex,2018-07-02,2018-07-02,2018,26.65,8.175,0.10000000000000002,17.65,176.5
west fork,prairie dog,livestock ex,2019-07-09,2019-07-02,2019,28.55,17.475,0.10000000000000002,44.18333333333334,441.8333333333333
west fork,prairie dog,livestock ex,2020-07-14,2020-07-13,2020,22.775,5.725,0.10000000000000002,35.68,71.36
west fork,prairie dog,out,2018-07-02,2018-07-02,2018,20.025641025641026,4.666666666666667,0.10000000000000002,20.55,205.5
west fork,prairie dog,out,2019-07-09,2019-07-02,2019,31.475,16.225,0.10000000000000002,33.733333333333334,337.3333333333333
west fork,prairie dog,out,2020-07-13,2020-07-13,2020,23.17948717948718,5.589743589743589,0.10000000000000002,29.28,58.56
west fork,prairie dog,ungulate ex,2018-07-02,2018-07-02,2018,26.65,6.0,0.10000000000000002,31.333333333333332,313.3333333333333
west fork,prairie dog,ungulate ex,2019-07-09,2019-07-02,2019,37.975,19.45,0.10000000000000002,49.300000000000004,493.0
west fork,prairie dog,ungulate ex,2020-07-14,2020-07-13,2020,29.625,9.225,0.10000000000000002,46.85999999999999,93.71999999999998
wildcat,control,livestock ex,2018-06-26,2018-06-26,2018,49.71052631578947,7.2368421052631575,0.10000000000000002,10.066666666666666,100.66666666666667
wildcat,control,livestock ex,2019-07-03,2019-07-03,2019,22.375,7.925,0.10000000000000002,33.03333333333333,330.3333333333333
wildcat,control,livestock ex,2020-07-09,2020-07-09,2020,23.125,6.275,0.10000000000000002,13.026666666666666,26.05333333333333
wildcat,control,out,2018-06-26,2018-06-26,2018,39.45,4.725,0.10000000000000002,12.533333333333333,125.33333333333333
