Site,Disturbance,Exclosure,Date,hits_Total,hits_C4,hits_C3,hits_Brome,hits_VUOC,hits_AnnForb,hits_PerForb,hits_Forb,hits_Subshrub,hits_SD,hits_Herb,weight_Total,weight_C4,weight_C3,weight_Brome,weight_Forb,weight_AnnForb,weight_PerForb,weight_VUOC,weight_Subshrub,weight_SD,weight_Herb,Year
steckley,fire,out,2019-07-30,22,7,5,9,0,1,0,1,0,0,22,121.90666666666668,12.633333333333333,10.233333333333333,6.8999999999999995,0.0,2.2333333333333334,0.006666666666666667,0.0,0.0,0.09999999999999999,121.80666666666669,2019
steckley,fire,ungulate ex,2017-07-17,21,0,13,8,0,0,0,0,0,0,21,288.36000000000007,0.0,76.42,11.146666666666668,0.45333333333333375,0.0,0.0,0.0,0.0,0.0,288.36000000000007,2017
steckley,fire,ungulate ex,2018-07-31,50,12,0,37,0,1,0,1,0,0,50,443.5466666666666,19.62666666666667,2.48,37.98,2.7866666666666666,0.0,0.0,0.24666666666666667,0.0,14.013333333333334,429.5333333333333,2018
steckley,fire,ungulate ex,2019-07-30,74,0,47,21,0,6,0,6,0,0,74,285.71999999999997,4.533333333333333,128.0,15.033333333333333,0.0,0.06666666666666667,1.3,0.0,0.0,0.08666666666666667,285.6333333333333,2019
steckley,prairie dog,livestock ex,2017-07-17,24,0,24,0,0,0,0,0,0,0,24,134.17999999999998,0.0,30.30666666666666,0.0,0.47333333333333333,0.0,0.0,0.0,0.0,0.0,134.17999999999998,2017
steckley,prairie dog,livestock ex,2018-07-31,22,0,19,0,0,2,1,3,0,0,22,227.70666666666668,0.0,82.04,0.0,1.6600000000000001,0.0,0.0,0.013333333333333334,0.0,0.17333333333333334,227.53333333333333,2018
steckley,prairie dog,livestock ex,2019-07-29,66,0,55,0,0,8,1,9,0,2,66,500.8066666666666,0.06666666666666667,143.4,0.3,0.0,3.1333333333333333,1.1333333333333333,0.006666666666666667,0.0,0.16666666666666666,500.63999999999993,2019
steckley,prairie dog,livestock ex,2020-08-10,56,0,10,0,0,0,0,0,0,46,56,107.68,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,78.18,29.5,2020
steckley,prairie dog,out,2017-07-17,25,0,25,0,0,0,0,0,0,0,25,143.92666666666665,0.09333333333333253,47.11333333333334,0.0,0.09999999999999905,0.0,0.0,0.0,0.0,0.0,143.92666666666665,2017
steckley,prairie dog,out,2018-07-31,19,0,18,0,0,1,0,1,0,0,19,230.46000000000004,0.0,89.12,0.0,2.0466666666666664,0.0,0.0,0.0,0.0,0.7400000000000001,229.72000000000003,2018
steckley,prairie dog,out,2019-07-29,28,0,26,0,0,2,0,2,0,0,28,448.25333333333333,0.04666666666666667,141.20000000000002,1.4333333333333333,0.0,1.6333333333333335,0.006666666666666667,0.0,0.0,0.39999999999999997,447.85333333333335,2019
steckley,prairie dog,out,2020-08-10,31,0,8,0,0,3,0,3,0,20,31,155.56,0.0,62.2,0.0,0.0,1.54,0.0,0.0,0.0,91.82,63.74000000000001,2020
