Site,Disturbance,Exclosure,Date,FG,Year,Total Hits,hits,weight
lake creek,fire,out,2017-07-20,Total,2017,25,25,135.65999999999997
lake creek,fire,out,2017-07-20,VUOC,2017,25,4,3.8599999999999994
lake creek,fire,out,2018-07-30,AnnGrass,2018,26,0,1.92
lake creek,fire,out,2018-07-30,Brome,2018,26,0,1.64
lake creek,fire,out,2018-07-30,C3,2018,26,2,8.66
lake creek,fire,out,2018-07-30,C4,2018,26,13,31.22
lake creek,fire,out,2018-07-30,Forb,2018,26,11,81.02
lake creek,fire,out,2018-07-30,SD,2018,26,0,4.2
lake creek,fire,out,2018-07-30,Subshrub,2018,26,0,0.0
lake creek,fire,out,2018-07-30,Total,2018,26,26,127.02
lake creek,fire,out,2018-07-30,VUOC,2018,26,0,0.28
lake creek,fire,out,2019-07-31,AnnGrass,2019,23,1,0.62
lake creek,fire,out,2019-07-31,Brome,2019,23,1,0.6
lake creek,fire,out,2019-07-31,C3,2019,23,12,79.2
lake creek,fire,out,2019-07-31,C4,2019,23,5,39.6
lake creek,fire,out,2019-07-31,Forb,2019,23,3,62.1
lake creek,fire,out,2019-07-31,SD,2019,23,0,1.2
lake creek,fire,out,2019-07-31,Subshrub,2019,23,0,0.0
lake creek,fire,out,2019-07-31,Total,2019,23,21,182.72
lake creek,fire,out,2019-07-31,VUOC,2019,23,0,0.02
lake creek,fire,out,2020-08-03,AnnGrass,2020,10,1,9.12
lake creek,fire,out,2020-08-03,Brome,2020,10,1,9.12
lake creek,fire,out,2020-08-03,C3,2020,10,8,63.9
lake creek,fire,out,2020-08-03,C4,2020,10,0,0.36
lake creek,fire,out,2020-08-03,Forb,2020,10,0,0.22
lake creek,fire,out,2020-08-03,SD,2020,10,1,50.9
lake creek,fire,out,2020-08-03,Subshrub,2020,10,0,0.0
lake creek,fire,out,2020-08-03,Total,2020,10,10,124.49999999999999
lake creek,fire,out,2020-08-03,VUOC,2020,10,0,0.0
lake creek,fire,ungulate ex,2017-07-20,AnnGrass,2017,22,1,11.84
lake creek,fire,ungulate ex,2017-07-20,Brome,2017,22,0,0.1800000000000015
lake creek,fire,ungulate ex,2017-07-20,C3,2017,22,4,12.620000000000001
lake creek,fire,ungulate ex,2017-07-20,C4,2017,22,6,27.839999999999996
lake creek,fire,ungulate ex,2017-07-20,Forb,2017,22,11,67.69999999999999
lake creek,fire,ungulate ex,2017-07-20,SD,2017,22,0,0.0
lake creek,fire,ungulate ex,2017-07-20,Subshrub,2017,22,0,0.0
lake creek,fire,ungulate ex,2017-07-20,Total,2017,22,22,119.99999999999997
lake creek,fire,ungulate ex,2017-07-20,VUOC,2017,22,1,11.659999999999998
lake creek,fire,ungulate ex,2018-07-30,AnnGrass,2018,34,0,0.22
lake creek,fire,ungulate ex,2018-07-30,Brome,2018,34,0,0.0
lake creek,fire,ungulate ex,2018-07-30,C3,2018,34,0,8.28
lake creek,fire,ungulate ex,2018-07-30,C4,2018,34,7,25.62
lake creek,fire,ungulate ex,2018-07-30,Forb,2018,34,21,81.58
lake creek,fire,ungulate ex,2018-07-30,SD,2018,34,6,11.7
lake creek,fire,ungulate ex,2018-07-30,Subshrub,2018,34,0,0.0
lake creek,fire,ungulate ex,2018-07-30,Total,2018,34,34,127.39999999999999
lake creek,fire,ungulate ex,2018-07-30,VUOC,2018,34,0,0.22
lake creek,fire,ungulate ex,2019-07-31,AnnGrass,2019,14,0,1.5
lake creek,fire,ungulate ex,2019-07-31,Brome,2019,14,0,1.5
lake creek,fire,ungulate ex,2019-07-31,C3,2019,14,7,87.0
lake creek,fire,ungulate ex,2019-07-31,C4,2019,14,5,28.7
lake creek,fire,ungulate ex,2019-07-31,Forb,2019,14,2,54.6
lake creek,fire,ungulate ex,2019-07-31,SD,2019,14,0,1.5
lake creek,fire,ungulate ex,2019-07-31,Subshrub,2019,14,0,0.0
lake creek,fire,ungulate ex,2019-07-31,Total,2019,14,14,173.3
lake creek,fire,ungulate ex,2019-07-31,VUOC,2019,14,0,0.0
lake creek,fire,ungulate ex,2020-08-03,AnnGrass,2020,16,0,0.44
lake creek,fire,ungulate ex,2020-08-03,Brome,2020,16,0,0.44
lake creek,fire,ungulate ex,2020-08-03,C3,2020,16,4,64.02
lake creek,fire,ungulate ex,2020-08-03,C4,2020,16,0,4.26
lake creek,fire,ungulate ex,2020-08-03,Forb,2020,16,0,0.0
lake creek,fire,ungulate ex,2020-08-03,SD,2020,16,12,94.74
lake creek,fire,ungulate ex,2020-08-03,Subshrub,2020,16,0,0.0
lake creek,fire,ungulate ex,2020-08-03,Total,2020,16,16,163.45999999999998
lake creek,fire,ungulate ex,2020-08-03,VUOC,2020,16,0,0.0
lake creek,prairie dog,livestock ex,2017-07-25,AnnGrass,2017,24,5,32.919999999999995
lake creek,prairie dog,livestock ex,2017-07-25,Brome,2017,24,5,17.619999999999997
lake creek,prairie dog,livestock ex,2017-07-25,C3,2017,24,3,25.200000000000003
lake creek,prairie dog,livestock ex,2017-07-25,C4,2017,24,2,21.759999999999998
lake creek,prairie dog,livestock ex,2017-07-25,Forb,2017,24,7,56.760000000000005
lake creek,prairie dog,livestock ex,2017-07-25,SD,2017,24,0,0.0
lake creek,prairie dog,livestock ex,2017-07-25,Subshrub,2017,24,0,0.0
lake creek,prairie dog,livestock ex,2017-07-25,Total,2017,24,17,136.64000000000001
lake creek,prairie dog,livestock ex,2017-07-25,VUOC,2017,24,0,15.299999999999999
lake creek,prairie dog,livestock ex,2018-07-30,AnnGrass,2018,27,8,31.12
lake creek,prairie dog,livestock ex,2018-07-30,Brome,2018,27,8,30.8
lake creek,prairie dog,livestock ex,2018-07-30,C3,2018,27,1,4.5
lake creek,prairie dog,livestock ex,2018-07-30,C4,2018,27,3,17.12
lake creek,prairie dog,livestock ex,2018-07-30,Forb,2018,27,15,41.28
lake creek,prairie dog,livestock ex,2018-07-30,SD,2018,27,0,7.14
lake creek,prairie dog,livestock ex,2018-07-30,Subshrub,2018,27,0,0.0
lake creek,prairie dog,livestock ex,2018-07-30,Total,2018,27,27,101.16
lake creek,prairie dog,livestock ex,2018-07-30,VUOC,2018,27,0,0.32
lake creek,prairie dog,livestock ex,2019-07-31,AnnGrass,2019,37,26,55.5
lake creek,prairie dog,livestock ex,2019-07-31,Brome,2019,37,26,53.6
lake creek,prairie dog,livestock ex,2019-07-31,C3,2019,37,3,37.7
lake creek,prairie dog,livestock ex,2019-07-31,C4,2019,37,4,59.7
lake creek,prairie dog,livestock ex,2019-07-31,Forb,2019,37,3,56.3
lake creek,prairie dog,livestock ex,2019-07-31,SD,2019,37,0,2.4
lake creek,prairie dog,livestock ex,2019-07-31,Subshrub,2019,37,0,0.0
lake creek,prairie dog,livestock ex,2019-07-31,Total,2019,37,36,211.60000000000002
lake creek,prairie dog,livestock ex,2019-07-31,VUOC,2019,37,0,1.9
lake creek,prairie dog,livestock ex,2020-08-03,AnnGrass,2020,14,7,17.5
lake creek,prairie dog,livestock ex,2020-08-03,Brome,2020,14,7,17.4
lake creek,prairie dog,livestock ex,2020-08-03,C3,2020,14,0,21.1
lake creek,prairie dog,livestock ex,2020-08-03,C4,2020,14,0,2.36
lake creek,prairie dog,livestock ex,2020-08-03,Forb,2020,14,0,0.68
lake creek,prairie dog,livestock ex,2020-08-03,SD,2020,14,7,25.0
lake creek,prairie dog,livestock ex,2020-08-03,Subshrub,2020,14,0,0.0
lake creek,prairie dog,livestock ex,2020-08-03,Total,2020,14,14,66.64
lake creek,prairie dog,livestock ex,2020-08-03,VUOC,2020,14,0,0.1
lake creek,prairie dog,out,2017-07-25,AnnGrass,2017,18,0,0.0
lake creek,prairie dog,out,2017-07-25,Brome,2017,18,0,0.0
lake creek,prairie dog,out,2017-07-25,C3,2017,18,4,24.340000000000003
lake creek,prairie dog,out,2017-07-25,C4,2017,18,0,25.479999999999997
lake creek,prairie dog,out,2017-07-25,Forb,2017,18,14,75.96000000000001
lake creek,prairie dog,out,2017-07-25,SD,2017,18,0,0.0
lake creek,prairie dog,out,2017-07-25,Subshrub,2017,18,0,0.0
