,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,2,"np.power(bm, 0.5) ~ ndti + bai_136 + ndti:bai_136",0.3636,0.361,5431.0419,688.7782,54.184,0.307,0.5605,0.0441,0.6245,,29.5999,,,,,,,487.8328,1.0583,1.0889,506.1021,547.3359,0.4119,0.0241,0.4454
0,projyear,2,"np.power(bm, 0.5) ~ ndti + bai_236 + ndti:bai_236",0.3963,0.3939,5391.6583,680.3136,53.8109,0.2862,0.5537,0.0438,0.6128,,29.4948,,,,,,,473.4401,1.0269,0.9891,495.0009,537.8821,0.4028,0.024,0.4377
0,projyear,2,"np.power(bm, 0.5) ~ ndti + bai_246 + ndti:bai_246",0.338,0.3353,5460.4277,706.3466,53.4789,0.3213,0.5748,0.0435,0.6301,,31.5008,,,,,,,490.3318,1.0674,1.1183,513.0143,571.8667,0.4175,0.0256,0.4654
0,projyear,2,"np.power(bm, 0.5) ~ satvi + ndii7 + satvi:ndii7",0.4214,0.419,5360.0273,660.2524,49.1362,0.2755,0.5373,0.04,0.5857,,26.6229,,,,,,,461.3214,1.0038,0.9481,478.9632,523.9609,0.3898,0.0217,0.4264
0,projyear,2,"np.power(bm, 0.5) ~ satvi + nir + satvi:nir",0.1776,0.1742,5622.3319,787.8087,65.2378,0.3926,0.6411,0.0531,0.7171,,34.4152,,,,,,,582.0183,1.2648,1.396,570.9174,638.4857,0.4646,0.028,0.5196
0,projyear,2,"np.power(bm, 0.5) ~ satvi + swir1 + satvi:swir1",0.4846,0.4825,5273.7023,626.6764,60.209,0.2391,0.51,0.049,0.5755,,33.2351,,,,,,,443.7039,0.9609,0.8214,454.4693,496.6972,0.3699,0.027,0.4042
0,projyear,2,"np.power(bm, 0.5) ~ satvi + swir2 + satvi:swir2",0.4718,0.4697,5291.9427,632.0045,61.2711,0.2484,0.5143,0.0499,0.5871,,36.0294,,,,,,,451.932,0.9798,0.8556,461.2063,504.8879,0.3753,0.0293,0.4109
0,projyear,2,"np.power(bm, 0.5) ~ satvi + bai_126 + satvi:bai_126",0.1939,0.1906,5607.3524,782.9516,58.9225,0.3871,0.6372,0.048,0.7062,,33.5702,,,,,,,563.7833,1.226,1.3546,563.8552,627.5528,0.4589,0.0273,0.5107
0,projyear,2,"np.power(bm, 0.5) ~ satvi + bai_236 + satvi:bai_236",0.3705,0.368,5422.8823,693.0211,51.4306,0.2969,0.564,0.0419,0.6108,,25.0053,,,,,,,486.9841,1.0556,1.0286,505.4816,540.5022,0.4114,0.0203,0.4399
0,projyear,2,"np.power(bm, 0.5) ~ satvi + bai_246 + satvi:bai_246",0.3179,0.3151,5482.7551,719.4386,43.3982,0.326,0.5855,0.0353,0.6346,,26.3126,,,,,,,500.7562,1.0898,1.1232,520.9082,571.302,0.4239,0.0214,0.4649
0,projyear,2,"np.power(bm, 0.5) ~ ndii7 + nir + ndii7:nir",0.4707,0.4686,5293.5288,632.1462,55.1975,0.2521,0.5145,0.0449,0.5807,,29.1586,,,,,,,444.3376,0.9643,0.8701,462.5939,493.451,0.3765,0.0237,0.4016
0,projyear,2,"np.power(bm, 0.5) ~ ndii7 + swir1 + ndii7:swir1",0.4969,0.4949,5255.6624,619.2216,54.1651,0.2363,0.5039,0.0441,0.5634,,28.3331,,,,,,,441.4439,0.957,0.8094,453.1792,486.2094,0.3688,0.0231,0.3957
0,projyear,2,"np.power(bm, 0.5) ~ ndii7 + swir2 + ndii7:swir2",0.4723,0.4702,5291.2834,631.9245,53.6851,0.2503,0.5143,0.0437,0.5768,,28.1284,,,,,,,445.114,0.966,0.8608,461.1904,495.2634,0.3753,0.0229,0.4031
0,projyear,2,"np.power(bm, 0.5) ~ ndii7 + bai_126 + ndii7:bai_126",0.4665,0.4644,5299.4235,630.0607,49.7691,0.2562,0.5128,0.0405,0.565,,26.3654,,,,,,,425.3188,0.9233,0.9015,459.8278,486.1229,0.3742,0.0215,0.3956
0,projyear,2,"np.power(bm, 0.5) ~ ndii7 + bai_136 + ndii7:bai_136",0.4629,0.4607,5304.4484,641.9235,50.5152,0.2521,0.5224,0.0411,0.5716,,26.4073,,,,,,,441.823,0.9593,0.8649,465.574,496.577,0.3789,0.0215,0.4041
