index,model,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
455,Project,4,np.log(bm) ~ dfi + satvi + ndii7 + bai_236 + dfi:satvi + dfi:ndii7 + dfi:bai_236 + satvi:ndii7 + satvi:bai_236 + ndii7:bai_236,FIRE,0.3651,0.2847,74.7363,104.0539,23.3092,0.0627,0.3374,0.0756,0.4366,,14.9875,0.2742,0.0549,0.358,0.0653,0.0633,0.0116,104.0539,0.3369,0.0627,77.6865,96.8516,0.2519,0.0486,0.314
456,Project,4,np.log(bm) ~ dfi + satvi + nir + swir1 + dfi:satvi + dfi:nir + dfi:swir1 + satvi:nir + satvi:swir1 + nir:swir1,FIRE,0.3012,0.2127,83.3664,112.9299,20.5629,0.0854,0.3662,0.0667,0.4479,,15.8739,0.3074,0.0559,0.3886,0.0684,0.0688,0.0121,112.9299,0.3664,0.0854,88.4452,116.0972,0.2868,0.0515,0.3764
457,Project,4,np.log(bm) ~ dfi + satvi + nir + swir2 + dfi:satvi + dfi:nir + dfi:swir2 + satvi:nir + satvi:swir2 + nir:swir2,FIRE,0.2915,0.2019,84.5953,117.776,26.8619,0.106,0.3819,0.0871,0.5213,,20.2879,0.3149,0.0665,0.4007,0.0837,0.0709,0.0148,117.776,0.3817,0.106,91.5133,129.1151,0.2967,0.0658,0.4186
458,Project,4,np.log(bm) ~ dfi + satvi + nir + bai_126 + dfi:satvi + dfi:nir + dfi:bai_126 + satvi:nir + satvi:bai_126 + nir:bai_126,FIRE,0.2126,0.1129,94.1087,132.9211,25.9131,0.1034,0.431,0.084,0.523,,18.2343,0.3394,0.0619,0.4391,0.0881,0.0777,0.0156,132.9211,0.4318,0.1034,99.685,124.201,0.3232,0.0591,0.4027
459,Project,4,np.log(bm) ~ dfi + satvi + nir + bai_236 + dfi:satvi + dfi:nir + dfi:bai_236 + satvi:nir + satvi:bai_236 + nir:bai_236,FIRE,0.2052,0.1046,94.9415,130.5762,24.091,0.1035,0.4234,0.0781,0.516,,17.3753,0.3227,0.0504,0.4213,0.0682,0.0745,0.0121,130.5762,0.4233,0.1035,95.8265,119.7207,0.3107,0.0563,0.3882
460,Project,4,np.log(bm) ~ dfi + satvi + nir + bai_246 + dfi:satvi + dfi:nir + dfi:bai_246 + satvi:nir + satvi:bai_246 + nir:bai_246,FIRE,0.297,0.208,83.8999,112.2066,20.3838,0.0899,0.3638,0.0661,0.4437,,13.732,0.3075,0.0471,0.3869,0.061,0.0685,0.0108,112.2066,0.3643,0.0899,87.8691,112.3748,0.2849,0.0445,0.3644
461,Project,4,np.log(bm) ~ dfi + satvi + swir1 + bai_126 + dfi:satvi + dfi:swir1 + dfi:bai_126 + satvi:swir1 + satvi:bai_126 + swir1:bai_126,FIRE,0.2697,0.1773,87.3267,117.8258,24.7503,0.0848,0.382,0.0802,0.4671,,17.0636,0.3212,0.0623,0.3999,0.0822,0.0708,0.0145,117.8258,0.3826,0.0848,92.8788,114.9208,0.3011,0.0553,0.3726
462,Project,4,np.log(bm) ~ dfi + satvi + swir1 + bai_236 + dfi:satvi + dfi:swir1 + dfi:bai_236 + satvi:swir1 + satvi:bai_236 + swir1:bai_236,FIRE,0.3103,0.2229,82.1872,114.2011,18.1135,0.0551,0.3703,0.0587,0.4557,,15.6397,0.325,0.065,0.3936,0.0756,0.0697,0.0134,114.2011,0.3706,0.0551,91.4714,113.4549,0.2966,0.0507,0.3679
463,Project,4,np.log(bm) ~ dfi + satvi + swir1 + bai_246 + dfi:satvi + dfi:swir1 + dfi:bai_246 + satvi:swir1 + satvi:bai_246 + swir1:bai_246,FIRE,0.2933,0.2039,84.3706,112.0416,20.077,0.0873,0.3633,0.0651,0.4411,,14.8607,0.3069,0.0514,0.3843,0.0649,0.068,0.0115,112.0416,0.3637,0.0873,88.7268,113.796,0.2877,0.0482,0.369
464,Project,4,np.log(bm) ~ dfi + satvi + swir2 + bai_126 + dfi:satvi + dfi:swir2 + dfi:bai_126 + satvi:swir2 + satvi:bai_126 + swir2:bai_126,FIRE,0.2694,0.177,87.3609,119.0119,25.585,0.0968,0.3859,0.083,0.4867,,19.1287,0.3218,0.0684,0.4033,0.0859,0.0714,0.0152,119.0119,0.3862,0.0968,93.4115,123.4352,0.3029,0.062,0.4002
465,Project,4,np.log(bm) ~ dfi + satvi + swir2 + bai_236 + dfi:satvi + dfi:swir2 + dfi:bai_236 + satvi:swir2 + satvi:bai_236 + swir2:bai_236,FIRE,0.3541,0.2723,76.277,105.7684,22.2143,0.0568,0.3429,0.072,0.4573,,13.52,0.2909,0.0491,0.3589,0.0671,0.0635,0.0119,105.7684,0.3428,0.0568,82.7026,103.6708,0.2681,0.0438,0.3361
466,Project,4,np.log(bm) ~ dfi + satvi + swir2 + bai_246 + dfi:satvi + dfi:swir2 + dfi:bai_246 + satvi:swir2 + satvi:bai_246 + swir2:bai_246,FIRE,0.2892,0.1992,84.8926,114.3156,23.0377,0.0933,0.3706,0.0747,0.475,,17.6074,0.3111,0.0592,0.3923,0.0723,0.0694,0.0128,114.3156,0.3708,0.0933,89.8442,121.3403,0.2913,0.0571,0.3934
467,Project,4,np.log(bm) ~ dfi + satvi + bai_126 + bai_236 + dfi:satvi + dfi:bai_126 + dfi:bai_236 + satvi:bai_126 + satvi:bai_236 + bai_126:bai_236,FIRE,0.2219,0.1234,93.038,128.003,17.5833,0.1024,0.415,0.057,0.47,,14.5853,0.3296,0.0478,0.4219,0.0637,0.0747,0.0113,128.003,0.415,0.1024,96.9325,118.9783,0.3143,0.0473,0.3858
