,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,4,np.log(bm) ~ dfi + ndti + bai_236 + bai_246 + dfi:ndti + dfi:bai_236 + dfi:bai_246 + ndti:bai_236 + ndti:bai_246 + bai_236:bai_246,0.5154,0.5137,9570.9227,634.7719,30.3367,4.0911,0.8479,0.0405,0.918,,6.9584,0.9553,0.0366,1.3457,0.041,0.2334,0.0071,335.8479,1.2205,7.045,410.3978,420.1025,0.5482,0.0093,0.5611
0,projyear,4,np.log(bm) ~ dfi + satvi + ndii7 + nir + dfi:satvi + dfi:ndii7 + dfi:nir + satvi:ndii7 + satvi:nir + ndii7:nir,0.5224,0.5206,9530.6403,682.6394,111.2431,4.2421,0.9118,0.1486,1.1681,,31.5787,0.9497,0.046,1.3367,0.0537,0.2318,0.0093,412.3703,1.496,7.2749,418.7058,467.4107,0.5593,0.0422,0.6243
0,projyear,4,np.log(bm) ~ dfi + satvi + ndii7 + swir1 + dfi:satvi + dfi:ndii7 + dfi:swir1 + satvi:ndii7 + satvi:swir1 + ndii7:swir1,0.5358,0.5342,9450.8826,617.7964,25.3449,4.1921,0.8252,0.0339,0.8607,,11.4201,0.9325,0.0372,1.3189,0.0466,0.2287,0.0081,329.6088,1.197,7.2112,402.5211,413.1715,0.5377,0.0153,0.5519
0,projyear,4,np.log(bm) ~ dfi + satvi + ndii7 + bai_126 + dfi:satvi + dfi:ndii7 + dfi:bai_126 + satvi:ndii7 + satvi:bai_126 + ndii7:bai_126,0.5129,0.5112,9585.214,660.5737,56.4431,4.4799,0.8823,0.0754,1.015,,18.0495,0.9576,0.0344,1.3517,0.0465,0.2344,0.0081,337.0488,1.2234,7.6957,418.4462,450.4423,0.5589,0.0241,0.6017
0,projyear,4,np.log(bm) ~ dfi + satvi + ndii7 + bai_236 + dfi:satvi + dfi:ndii7 + dfi:bai_236 + satvi:ndii7 + satvi:bai_236 + ndii7:bai_236,0.5166,0.5149,9563.9133,648.8193,25.8495,4.2068,0.8666,0.0345,0.9111,,10.0392,0.9635,0.0381,1.3459,0.0437,0.2334,0.0076,359.5607,1.3053,7.2516,422.8916,438.2017,0.5649,0.0134,0.5853
0,projyear,4,np.log(bm) ~ dfi + satvi + nir + swir1 + dfi:satvi + dfi:nir + dfi:swir1 + satvi:nir + satvi:swir1 + nir:swir1,0.533,0.5313,9467.7871,671.2291,125.1068,4.3345,0.8966,0.1671,1.2121,,27.8677,0.932,0.0429,1.322,0.053,0.2293,0.0092,359.0109,1.3032,7.4377,407.1506,452.4101,0.5438,0.0372,0.6043
0,projyear,4,np.log(bm) ~ dfi + satvi + nir + bai_236 + dfi:satvi + dfi:nir + dfi:bai_236 + satvi:nir + satvi:bai_236 + nir:bai_236,0.4757,0.4738,9790.2626,664.4182,25.6605,4.8925,0.8875,0.0343,0.9258,,11.9206,0.9963,0.0405,1.4004,0.0392,0.2429,0.0068,311.5678,1.1318,8.4145,429.3821,443.7331,0.5735,0.0159,0.5927
0,projyear,4,np.log(bm) ~ dfi + satvi + nir + bai_246 + dfi:satvi + dfi:nir + dfi:bai_246 + satvi:nir + satvi:bai_246 + nir:bai_246,0.5234,0.5216,9524.8897,618.4022,45.678,4.4451,0.826,0.061,0.8978,,24.2008,0.9357,0.0451,1.3356,0.0599,0.2316,0.0104,363.342,1.3191,7.6129,399.9162,428.1922,0.5342,0.0323,0.5719
0,projyear,4,np.log(bm) ~ dfi + satvi + swir1 + bai_126 + dfi:satvi + dfi:swir1 + dfi:bai_126 + satvi:swir1 + satvi:bai_126 + swir1:bai_126,0.5462,0.5446,9388.1037,617.9374,31.4519,4.1707,0.8254,0.042,0.873,,13.3551,0.9124,0.0343,1.3028,0.0383,0.2259,0.0066,323.8366,1.1762,7.182,397.5091,411.8902,0.531,0.0178,0.5502
0,projyear,4,np.log(bm) ~ dfi + satvi + swir1 + bai_246 + dfi:satvi + dfi:swir1 + dfi:bai_246 + satvi:swir1 + satvi:bai_246 + swir1:bai_246,0.5358,0.5342,9450.9931,616.0326,31.1704,4.3413,0.8229,0.0416,0.8564,,17.1089,0.9233,0.04,1.3185,0.0521,0.2287,0.009,323.8356,1.1764,7.4533,397.2817,415.6377,0.5307,0.0229,0.5552
0,projyear,4,np.log(bm) ~ dfi + satvi + bai_126 + bai_236 + dfi:satvi + dfi:bai_126 + dfi:bai_236 + satvi:bai_126 + satvi:bai_236 + bai_126:bai_236,0.4988,0.4969,9665.1024,664.4828,32.1826,4.5802,0.8876,0.043,0.9601,,7.8501,0.9752,0.0354,1.3692,0.0357,0.2375,0.0062,312.188,1.1342,7.9022,428.9085,436.0768,0.5729,0.0105,0.5825
