Transect ID,Fire Name,Distance,Weight (g),Total_Weight_(g/m^2),Date,Distance along transect,Height (cm),Length (cm),Width (cm),Basal diameter,% Cover,Cactus,Mean.GPS_E.Biomass,Mean.GPS_N.Biomass
kuem-s-out,kuemmerle,15.0,71.732,143.464,2015-08-17,15.0,,,,,0.0,0.0,530349.0953897126,4852648.78649376
kuem-ss-in,kuemmerle,15.0,58.5008,117.0016,2015-08-17,15.0,,,,,0.0,0.0,529979.7640765,4852593.952209999
kuem-ss-out,kuemmerle,15.0,49.316199999999995,98.63239999999999,2015-08-17,15.0,32.0,59.0,27.75,14.0,17.5,0.0,530149.7640765,4852793.95221
lakecr-c-in,lake creek,15.0,73.8749,147.7498,2015-07-16,15.0,,,,,0.0,3.0,490393.7854892276,4795168.833720791
lakecr-l-in,lake creek,15.0,39.31595,78.6319,2015-07-16,15.0,,,,,0.0,8.0,490581.90156499995,4795892.83037
lakecr-l-out,lake creek,15.0,133.05005,266.1001,2015-07-16,15.0,,,,,0.0,15.0,490734.790683,4795679.130065
lakecr-sl-in,lake creek,15.0,54.17255,108.3451,2015-07-16,15.0,,,,,0.0,3.5,490542.768899,4795536.026075
lakecr-sl-out,lake creek,15.0,78.5797,157.1594,2015-07-16,15.0,5.213333333333333,7.173333333333333,5.12,1.7166666666666666,18.5,3.0,491398.1601268299,4795767.416858882
pe1-l-in,peterson elliot,15.0,61.37765,122.7553,2015-08-19,15.0,,,,,0.0,0.5,522315.374895,4850801.435815
pe1-l-out,peterson elliot,15.0,78.47015,156.9403,2015-08-19,15.0,9.4,8.7,6.45,0.35,9.0,10.0,521721.370799,4851572.065935
pe1-s-in,peterson elliot,15.0,66.58175,133.1635,2015-08-19,15.0,,,,,0.0,0.0,523620.125822,4853855.151035
pe1-s-out,peterson elliot,15.0,58.737300000000005,117.47460000000001,2015-08-19,15.0,,,,,0.0,0.0,523337.781064,4854371.630065
pe1-sal-in,peterson elliot,15.0,39.93115,79.8623,2015-08-19,15.0,,,,,0.0,0.0,524111.80630749994,4854471.310990001
pe1-sal-out,peterson elliot,15.0,56.4628,112.9256,2015-08-19,15.0,4.199999999999999,1.9,0.6499999999999999,0.2,0.0,9.5,523692.18883550004,4854530.803324998
pe1-sl-in,peterson elliot,15.0,53.449999999999996,106.89999999999999,2015-08-20,15.0,,,,,0.0,0.0,523970.771445,4854239.130064999
pe1-sl-out,peterson elliot,15.0,27.749750000000002,55.499500000000005,2015-08-20,15.0,9.25,23.599999999999998,16.1,21.400000000000002,11.0,0.0,523257.72790399997,4854045.4024
phil-sl-in,phillips,15.0,56.575649999999996,113.15129999999999,2015-07-28,15.0,,,,,0.0,0.0,485375.436306,4818805.151035
phil-sl-out,phillips,15.0,31.6915,63.383,2015-07-28,15.0,3.4625,12.0125,6.9375,2.325,3.5,7.0,485272.793229,4818916.026075
ratcr-l-in,rat creek,15.0,78.9653,157.9306,2015-07-23,15.0,,,,,0.0,8.5,492507.781064,4791541.630065
ratcr-sl-in,rat creek,15.0,69.6506,139.3012,2015-07-23,15.0,,,,,0.0,0.0,493612.793229,4791296.026075
roch-l-in,rochelle hills,15.0,78.6961,157.3922,2015-07-28,15.0,,,,,0.0,0.0,492414.790683,4822019.130065001
roch-l-out,rochelle hills,15.0,55.501400000000004,111.00280000000001,2015-07-28,15.0,37.5,79.0,40.0,26.5,11.0,0.0,491917.781064,4822321.630065
roch-s-in,rochelle hills,15.0,112.095,224.19,2015-07-27,15.0,,,,,0.0,0.0,493342.19383060036,4826715.876069589
roch-s-out,rochelle hills,15.0,41.8831,83.7662,2015-07-28,15.0,,,,,0.0,0.0,494596.4432216666,4826776.764840888
roch-sc-in,rochelle hills,15.0,35.83435,71.6687,2015-07-30,15.0,21.0,48.0,33.0,16.0,9.0,0.0,494522.5049614833,4820896.349908462
roch-sl-in,rochelle hills,15.0,62.85445,125.7089,2015-07-27,15.0,,,,,0.0,4.0,493783.37329250004,4826560.803324999
scow-sc-in,south cow,15.0,52.2203,104.4406,2015-08-11,15.0,,,,,0.0,4.0,499848.76993,4786858.621704999
scow-sc-out,south cow,15.0,35.27305,70.5461,2015-08-11,15.0,,,,,0.0,0.0,499682.531084,4786550.858109999
steck-c-in,steckley,15.0,51.41565000000001,102.83130000000001,2015-07-21,15.0,,,,,0.0,0.0,471084.19132900005,4807372.065935
steck-c-out,steckley,15.0,30.0171,60.0342,2015-07-21,15.0,21.0,45.5,36.0,17.0,19.0,8.0,471299.7392903555,4807248.602945259
steck-l-in,steckley,15.0,27.6497,55.2994,2015-07-21,15.0,,,,,0.0,13.0,471606.5740655,4807451.678704999
steck-sc-in,steckley,15.0,63.4,126.8,2015-07-21,15.0,,,,,0.0,16.5,472100.05798599916,4807877.5185640175
steck-sc-out,steckley,15.0,65.2246,130.4492,2015-07-21,15.0,23.0,33.0,24.0,4.3,1.5,0.0,472563.7874592999,4807877.564536266
steck-sl-in,steckley,15.0,60.1259,120.2518,2015-07-21,15.0,,,,,0.0,0.0,471863.660563,4807422.83037
steck-sl-out,steckley,15.0,26.862499999999997,53.724999999999994,2015-07-21,15.0,6.771428571428571,11.6,7.428571428571429,3.1285714285714286,3.0,0.0,472214.48380409507,4807085.783496264
tena-sl-in,tena creek,15.0,50.88555000000001,101.77110000000002,2015-08-03,15.0,,,,,0.0,0.0,497445.7980515,4796293.95221
tena-sl-out,tena creek,15.0,53.605000000000004,107.21000000000001,2015-08-03,15.0,22.4,43.166666666666664,18.933333333333334,3.216666666666667,13.0,0.0,497544.7519115,4796029.911905
tepee-l-in,tepee,15.0,73.17875,146.3575,2015-08-11,15.0,,,,,0.0,1.5,513086.16198950005,4842857.1433850005
tepee-l-out,tepee,15.0,61.879999999999995,123.75999999999999,2015-08-11,15.0,5.8375,9.7125,9.80625,4.771875,5.0,8.5,513263.084204,4842823.62968
wfork-l-in,west fork,15.0,68.49255,136.9851,2015-07-22,15.0,,,,,0.0,0.0,490232.89043100004,4822778.438115
wfork-l-out,west fork,15.0,116.28309999999999,232.56619999999998,2015-07-22,15.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,490774.6685769963,4822556.937472994
wfork-sl-in,west fork,15.0,46.3981,92.7962,2015-07-22,15.0,10.633771929824562,7.1385964912280695,5.473245614035088,0.6745614035087719,7.5,14.0,490343.084204,4821923.629679999
wfork-sl-out,west fork,15.0,46.7668,93.5336,2015-07-22,15.0,,,,,0.0,0.5,489179.25752900494,4821921.464902333
wild-l-in,wildcat,15.0,123.25,246.5,2015-07-14,15.0,11.0,14.5,8.0,2.0,0.5,0.0,518722.531084,4836760.858109999
wild-l-out,wildcat,15.0,132.068,264.136,2015-07-14,15.0,,,,,0.0,0.0,518919.76407649997,4837003.95221
wild-ss-in,wildcat,15.0,87.64,175.28,2015-07-14,15.0,,,,,0.0,0.0,520066.5740655,4836401.678704999
wild-ss-out,wildcat,15.0,85.775,171.55,2015-07-13,15.0,2.5,2.4,1.2,0.2,0.0,0.0,519820.187233,4835871.435815
