Site,Disturbance,Exclosure,Date,Date_cln,Year,High_cm,Low_cm,Area (m^2),Total Weight (g),Total Weight (g/m^2),vor_reading_pct
lake creek,fire,livestock ex,2020-07-09,2020-07-01,2020,22.875,8.125,0.1,12.145,24.29,1.0
lake creek,fire,livestock ex,2021-07-06,2021-07-06,2021,18.725,7.375,0.10000000000000002,4.28,42.79999999999999,1.0
lake creek,fire,out,2018-07-03,2018-07-03,2018,24.025,7.425,0.10000000000000002,20.8,208.0,1.0
lake creek,fire,out,2019-07-02,2019-07-01,2019,24.825,9.475,0.10000000000000002,19.0,190.0,1.0
lake creek,fire,out,2020-07-07,2020-07-01,2020,16.75,4.15,0.10000000000000002,14.1,28.2,1.0
lake creek,fire,out,2021-07-06,2021-07-06,2021,14.263157894736842,3.6842105263157894,0.10000000000000002,2.3066666666666666,23.066666666666666,1.0
lake creek,fire,ungulate ex,2018-07-03,2018-07-03,2018,24.555555555555557,8.277777777777779,0.10000000000000002,22.8,228.0,1.0
lake creek,fire,ungulate ex,2019-07-02,2019-07-01,2019,33.31578947368421,11.0,0.10000000000000002,22.71666666666667,227.16666666666663,1.0
lake creek,fire,ungulate ex,2020-07-09,2020-07-01,2020,25.342105263157894,7.894736842105263,0.1,27.78,55.56,1.0
lake creek,fire,ungulate ex,2021-07-06,2021-07-06,2021,25.923076923076923,9.256410256410257,0.10000000000000002,5.29,52.9,1.0
lake creek,prairie dog,livestock ex,2018-07-03,2018-07-03,2018,33.75675675675676,9.702702702702704,0.10000000000000002,16.05,160.49999999999997,1.0
lake creek,prairie dog,livestock ex,2019-07-01,2019-07-01,2019,30.125,14.275,0.10000000000000002,23.433333333333334,234.33333333333334,1.0
lake creek,prairie dog,livestock ex,2020-07-01,2020-07-01,2020,19.032258064516128,5.161290322580645,0.10000000000000002,9.126666666666667,18.253333333333334,1.0
lake creek,prairie dog,livestock ex,2021-07-01,2021-07-01,2021,20.771428571428572,6.542857142857143,0.10000000000000002,11.143333333333333,111.43333333333332,1.0
lake creek,prairie dog,out,2018-07-04,2018-07-03,2018,25.91891891891892,6.72972972972973,0.10000000000000002,26.266666666666666,262.6666666666667,1.0
lake creek,prairie dog,out,2019-07-01,2019-07-01,2019,27.2,10.1,0.10000000000000002,19.816666666666666,198.16666666666666,1.0
lake creek,prairie dog,out,2020-06-30,2020-07-01,2020,17.512820512820515,4.153846153846154,0.10000000000000002,14.439999999999996,28.879999999999992,1.0
lake creek,prairie dog,out,2021-07-06,2021-07-06,2021,18.65,4.075,0.10000000000000002,4.71,47.1,1.0
lake creek,prairie dog,ungulate ex,2018-07-03,2018-07-03,2018,24.45,7.3,0.10000000000000002,17.75,177.5,1.0
lake creek,prairie dog,ungulate ex,2019-07-01,2019-07-01,2019,25.675,9.125,0.10000000000000002,17.833333333333332,178.33333333333334,1.0
lake creek,prairie dog,ungulate ex,2020-07-01,2020-07-01,2020,20.05,5.05,0.10000000000000002,15.440000000000001,30.880000000000003,1.0
lake creek,prairie dog,ungulate ex,2021-07-01,2021-07-01,2021,25.675,8.45,0.10000000000000002,19.59,195.89999999999998,1.0
steckley,control,livestock ex,2018-06-28,2018-06-28,2018,60.074074074074076,10.777777777777779,0.10000000000000002,18.150000000000002,181.5,1.0
steckley,control,livestock ex,2019-06-27,2019-06-26,2019,46.903225806451616,16.612903225806452,0.10000000000000002,34.48333333333333,344.8333333333333,1.0
steckley,control,livestock ex,2020-07-07,2020-07-07,2020,43.0,10.31578947368421,0.1,22.395,44.79,1.0
steckley,control,livestock ex,2021-06-28,2021-06-30,2021,32.17857142857143,8.928571428571429,0.10000000000000002,6.47,64.69999999999999,1.0
steckley,control,out,2018-06-25,2018-06-25,2018,60.310344827586206,14.413793103448276,0.1,26.25,262.5,1.0
steckley,control,out,2019-06-27,2019-06-26,2019,56.064516129032256,19.451612903225808,0.10000000000000002,24.066666666666666,240.66666666666666,1.0
steckley,control,out,2020-07-07,2020-07-07,2020,34.88,11.72,0.10000000000000002,25.873333333333335,51.74666666666667,1.0
steckley,control,out,2021-06-30,2021-06-30,2021,32.625,6.916666666666667,0.10000000000000002,4.86,48.599999999999994,1.0
steckley,control,ungulate ex,2018-06-28,2018-06-28,2018,24.444444444444443,3.185185185185185,0.10000000000000002,10.299999999999999,103.0,1.0
