ID,Date,Project,gps_E,gps_N,Method,bm_gm2
E36.5,2016-07-13,BIRD,493776.0,4812288.0,vor,36.31089120008855
E36.5,2017-07-16,BIRD,493776.0,4812288.0,vor,71.90135191801602
E36.5,2018-07-01,BIRD,493776.0,4812288.0,vor,52.21626726167411
E36.5,2019-06-18,BIRD,493776.0,4812288.0,vor,67.87523427400606
E36.6,2015-07-06,BIRD,493776.0,4812538.0,vor,102.6852995928185
E36.6,2016-07-13,BIRD,493776.0,4812538.0,vor,41.19438781643228
E36.6,2017-07-16,BIRD,493776.0,4812538.0,vor,61.41949886672503
E36.6,2018-07-01,BIRD,493776.0,4812538.0,vor,131.50726720952977
E36.6,2019-06-18,BIRD,493776.0,4812538.0,vor,54.83302298068241
E36.7,2015-07-16,BIRD,493776.0,4812788.0,vor,188.1844791992626
E36.7,2016-07-13,BIRD,493776.0,4812788.0,vor,36.74445992007603
E36.7,2017-07-16,BIRD,493776.0,4812788.0,vor,41.678426976176254
E36.7,2018-07-01,BIRD,493776.0,4812788.0,vor,152.0008915945655
E36.7,2019-06-19,BIRD,493776.0,4812788.0,vor,134.8211607196626
E36.8,2015-07-06,BIRD,493776.0,4813038.0,vor,48.89301479076282
E36.8,2016-07-13,BIRD,493776.0,4813038.0,vor,32.14478251517981
E36.8,2017-07-16,BIRD,493776.0,4813038.0,vor,38.21350070491119
E36.8,2018-07-01,BIRD,493776.0,4813038.0,vor,69.2521148212327
E36.8,2019-06-18,BIRD,493776.0,4813038.0,vor,73.23188499605405
E37.1,2015-07-22,BIRD,489537.0,4813348.0,vor,35.61347852411584
E37.1,2016-08-08,BIRD,489537.0,4813348.0,vor,8.432085285478614
E37.1,2017-08-07,BIRD,489537.0,4813348.0,vor,31.08467194999962
E37.1,2018-07-01,BIRD,489537.0,4813348.0,vor,58.77118319909288
E37.1,2019-07-30,BIRD,489537.0,4813348.0,vor,36.00162135849613
E37.2,2015-07-22,BIRD,489537.0,4813598.0,vor,31.309398574021547
E37.2,2016-08-08,BIRD,489537.0,4813598.0,vor,1.3857523141625958
E37.2,2017-08-07,BIRD,489537.0,4813598.0,vor,29.605178773317455
E37.2,2018-07-01,BIRD,489537.0,4813598.0,vor,51.53588474112625
E37.2,2019-07-30,BIRD,489537.0,4813598.0,vor,80.19468868008038
E37.3,2015-07-22,BIRD,489537.0,4813848.0,vor,41.69756067507087
