ID,Date,Project,gps_E,gps_N,Method,bm_gm2,geometry,index_right,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,OBJECTID,mukey_1,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,texcl
C1.2,2019-06-13,BIRD,487089.0,4813082.0,vor,134.85876438557156,POINT (487089 4813082),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.4,2015-07-23,BIRD,487443.0,4812728.0,vor,27.720464155158897,POINT (487443 4812728),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.4,2016-06-29,BIRD,487443.0,4812728.0,vor,-3.0997899374501925,POINT (487443 4812728),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.4,2017-07-06,BIRD,487443.0,4812728.0,vor,34.50131718883663,POINT (487443 4812728),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.4,2018-06-18,BIRD,487443.0,4812728.0,vor,74.11107795376809,POINT (487443 4812728),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.4,2019-06-13,BIRD,487443.0,4812728.0,vor,65.81651444540255,POINT (487443 4812728),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.3,2015-07-23,BIRD,487266.0,4812905.0,vor,44.18744500082013,POINT (487266 4812905),70840,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.3,2016-06-29,BIRD,487266.0,4812905.0,vor,5.8793236708389465,POINT (487266 4812905),70840,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.3,2017-07-06,BIRD,487266.0,4812905.0,vor,17.521382834894276,POINT (487266 4812905),70840,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.3,2018-06-18,BIRD,487266.0,4812905.0,vor,62.29945377125505,POINT (487266 4812905),70840,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.3,2019-06-13,BIRD,487266.0,4812905.0,vor,73.83246428245678,POINT (487266 4812905),70840,WY709,9,101,351479,85865,351479,100.0,R,31.3131578947,27.3053947368,41.3814473684,clay
C1.5,2015-07-23,BIRD,487620.0,4812552.0,vor,25.80081725185878,POINT (487620 4812552),71618,WY709,9,141,351519,85904,351519,100.0,R,38.1436527057,36.7045681987,25.1517790956,loam
C1.5,2016-06-29,BIRD,487620.0,4812552.0,vor,-0.8730389930983691,POINT (487620 4812552),71618,WY709,9,141,351519,85904,351519,100.0,R,38.1436527057,36.7045681987,25.1517790956,loam
C1.5,2017-07-06,BIRD,487620.0,4812552.0,vor,6.367586195626091,POINT (487620 4812552),71618,WY709,9,141,351519,85904,351519,100.0,R,38.1436527057,36.7045681987,25.1517790956,loam
C1.5,2018-06-18,BIRD,487620.0,4812552.0,vor,67.90395855409872,POINT (487620 4812552),71618,WY709,9,141,351519,85904,351519,100.0,R,38.1436527057,36.7045681987,25.1517790956,loam
