,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,2,np.log(bm) ~ ndti + nir + ndti:nir + I(ndti**2) + I(nir**2),0.5135,0.5124,7891.2239,620.6279,31.1517,5.9416,0.8309,0.0417,0.8905,,7.7446,1.0246,0.0255,1.4707,0.0469,0.259,0.0083,338.3038,1.2315,10.4761,394.6922,406.1438,0.5284,0.0104,0.5438
0,projyear,2,np.log(bm) ~ ndti + bai_126 + ndti:bai_126 + I(ndti**2) + I(bai_126**2),0.5083,0.5071,7914.771,626.6518,31.4815,5.9347,0.839,0.0421,0.9059,,9.695,1.0382,0.0225,1.4777,0.0515,0.2602,0.0091,346.1778,1.2609,10.4675,403.4444,420.3058,0.5402,0.013,0.5627
0,projyear,2,np.log(bm) ~ ndti + bai_136 + ndti:bai_136 + I(ndti**2) + I(bai_136**2),0.514,0.5129,7889.1768,626.7102,31.0126,5.5456,0.8391,0.0415,0.9006,,9.1916,1.0363,0.0234,1.4702,0.0489,0.2589,0.0086,348.4635,1.2692,9.7805,400.9459,412.3673,0.5368,0.0123,0.5521
0,projyear,2,np.log(bm) ~ ndti + bai_236 + ndti:bai_236 + I(ndti**2) + I(bai_236**2),0.5302,0.5292,7814.7386,629.5993,35.9241,5.048,0.8429,0.0481,0.9005,,16.6974,1.0297,0.0171,1.4464,0.0429,0.2547,0.0076,373.2394,1.3595,8.9029,404.2687,432.164,0.5413,0.0224,0.5786
0,projyear,2,np.log(bm) ~ ndti + bai_246 + ndti:bai_246 + I(ndti**2) + I(bai_246**2),0.5118,0.5106,7899.1492,628.0034,25.679,5.6548,0.8408,0.0344,0.8984,,7.6297,1.0425,0.0243,1.4729,0.0527,0.2594,0.0093,357.6195,1.3028,9.9763,408.9651,421.4168,0.5475,0.0102,0.5642
0,projyear,2,np.log(bm) ~ satvi + ndii7 + satvi:ndii7 + I(satvi**2) + I(ndii7**2),0.4882,0.4871,8002.1233,628.1292,19.2141,5.3464,0.841,0.0257,0.8742,,9.0167,1.0715,0.0275,1.5079,0.0487,0.2655,0.0086,351.2489,1.2787,9.4299,409.9648,425.065,0.5489,0.0121,0.5691
0,projyear,2,np.log(bm) ~ satvi + nir + satvi:nir + I(satvi**2) + I(nir**2),0.3837,0.3822,8408.7288,669.8403,53.752,9.2527,0.8968,0.072,0.9887,,16.9692,1.1253,0.0591,1.6516,0.0771,0.2908,0.0136,294.1695,1.0705,16.2287,413.0164,428.426,0.553,0.0227,0.5736
0,projyear,2,np.log(bm) ~ satvi + swir1 + satvi:swir1 + I(satvi**2) + I(swir1**2),0.4998,0.4986,7952.2122,597.7982,44.9148,6.4858,0.8004,0.0601,0.8545,,16.477,1.0124,0.0319,1.4916,0.05,0.2627,0.0088,314.7651,1.1451,11.3809,375.1728,401.0891,0.5023,0.0221,0.537
0,projyear,2,np.log(bm) ~ satvi + bai_126 + satvi:bai_126 + I(satvi**2) + I(bai_126**2),0.4812,0.48,8031.9796,687.3514,52.3486,5.904,0.9203,0.0701,1.022,,13.1493,1.0614,0.0248,1.5179,0.0532,0.2673,0.0094,333.792,1.215,10.4074,427.7217,443.6511,0.5727,0.0176,0.594
0,projyear,2,np.log(bm) ~ satvi + bai_236 + satvi:bai_236 + I(satvi**2) + I(bai_236**2),0.4132,0.4118,8301.3497,649.3763,47.982,7.1975,0.8694,0.0642,0.951,,15.9309,1.1233,0.0444,1.6146,0.0615,0.2843,0.0108,309.4656,1.1266,12.6521,413.1693,435.6017,0.5532,0.0213,0.5832
0,projyear,2,np.log(bm) ~ satvi + bai_246 + satvi:bai_246 + I(satvi**2) + I(bai_246**2),0.3937,0.3924,8372.6417,654.6397,41.6025,7.7918,0.8765,0.0557,0.9595,,14.1364,1.1335,0.0513,1.6379,0.075,0.2884,0.0132,295.9521,1.0775,13.7101,417.0111,427.3235,0.5583,0.0189,0.5721
0,projyear,2,np.log(bm) ~ ndii7 + nir + ndii7:nir + I(ndii7**2) + I(nir**2),0.532,0.5309,7806.6334,619.1928,26.1345,5.3679,0.829,0.035,0.8766,,14.6163,1.0167,0.0216,1.4426,0.0376,0.254,0.0066,375.4035,1.3669,9.4248,394.6607,413.8432,0.5284,0.0196,0.5541
0,projyear,2,np.log(bm) ~ ndii7 + swir1 + ndii7:swir1 + I(ndii7**2) + I(swir1**2),0.5075,0.5063,7918.3605,612.982,40.621,6.1713,0.8207,0.0544,0.8885,,21.0983,1.042,0.0289,1.4793,0.0437,0.2605,0.0077,355.3479,1.2944,10.8218,399.3609,423.2537,0.5347,0.0282,0.5667
0,projyear,2,np.log(bm) ~ ndii7 + swir2 + ndii7:swir2 + I(ndii7**2) + I(swir2**2),0.5533,0.5522,7704.8562,593.1387,38.9859,5.3768,0.7941,0.0522,0.8633,,16.078,0.9755,0.0194,1.4082,0.034,0.248,0.006,333.5018,1.2148,9.4605,379.1302,399.1289,0.5076,0.0215,0.5344
0,projyear,2,np.log(bm) ~ ndii7 + bai_126 + ndii7:bai_126 + I(ndii7**2) + I(bai_126**2),0.4062,0.4049,8327.16,643.3413,42.5029,6.9241,0.8613,0.0569,0.9634,,16.6819,1.166,0.0361,1.626,0.0611,0.2863,0.0108,366.0672,1.3338,12.1614,425.2095,452.033,0.5693,0.0223,0.6052
0,projyear,2,np.log(bm) ~ ndii7 + bai_136 + ndii7:bai_136 + I(ndii7**2) + I(bai_136**2),0.4098,0.4084,8313.9959,646.1585,35.9945,6.5314,0.8651,0.0482,0.9247,,19.083,1.1785,0.0383,1.6215,0.0533,0.2855,0.0094,392.1484,1.4278,11.4699,435.9596,461.7872,0.5837,0.0255,0.6183
0,projyear,2,np.log(bm) ~ ndii7 + bai_236 + ndii7:bai_236 + I(ndii7**2) + I(bai_236**2),0.3682,0.3668,8462.7516,676.5036,40.4201,7.3957,0.9057,0.0541,0.9975,,21.6262,1.2241,0.0336,1.6781,0.0541,0.2955,0.0095,397.677,1.4464,12.966,457.1613,491.6437,0.6121,0.029,0.6582
0,projyear,2,np.log(bm) ~ nir + swir1 + nir:swir1 + I(nir**2) + I(swir1**2),0.4931,0.4919,7981.2816,611.5006,55.2119,6.8703,0.8187,0.0739,0.9361,,22.7846,1.0338,0.0346,1.5002,0.0491,0.2642,0.0086,320.7008,1.1679,12.026,386.202,410.8594,0.5171,0.0305,0.5501
0,projyear,2,np.log(bm) ~ nir + swir2 + nir:swir2 + I(nir**2) + I(swir2**2),0.5566,0.5556,7688.3241,594.4215,40.4401,5.3975,0.7958,0.0541,0.8708,,17.0705,0.9686,0.0174,1.4026,0.0342,0.247,0.006,322.6813,1.1756,9.504,375.3202,396.7106,0.5025,0.0229,0.5311
