index,model,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
1314,Project,5,np.log(bm) ~ ndti + satvi + swir1 + bai_126 + bai_246 + ndti:satvi + ndti:swir1 + ndti:bai_126 + ndti:bai_246 + satvi:swir1 + satvi:bai_126 + satvi:bai_246 + swir1:bai_126 + swir1:bai_246 + bai_126:bai_246,NEX,0.6105,0.5932,565.8064,560.4939,42.2943,0.5821,0.3815,0.0288,0.4208,,45.1788,0.3802,0.0462,0.5588,0.1227,0.0792,0.0174,379.3439,0.8748,3.4843,421.6725,481.0981,0.287,0.0307,0.3274
1315,Project,5,np.log(bm) ~ ndti + satvi + bai_126 + bai_136 + bai_246 + ndti:satvi + ndti:bai_126 + ndti:bai_136 + ndti:bai_246 + satvi:bai_126 + satvi:bai_136 + satvi:bai_246 + bai_126:bai_136 + bai_126:bai_246 + bai_136:bai_246,NEX,0.5715,0.5524,599.5301,631.3163,63.1286,0.656,0.4297,0.043,0.5119,,43.5621,0.4033,0.0454,0.5746,0.1312,0.0815,0.0186,407.3468,0.9459,3.9743,465.0532,539.3137,0.3165,0.0296,0.3671
1316,Project,5,np.log(bm) ~ ndti + satvi + bai_126 + bai_236 + bai_246 + ndti:satvi + ndti:bai_126 + ndti:bai_236 + ndti:bai_246 + satvi:bai_126 + satvi:bai_236 + satvi:bai_246 + bai_126:bai_236 + bai_126:bai_246 + bai_236:bai_246,NEX,0.5713,0.5523,599.6324,640.6243,77.7459,0.6493,0.436,0.0529,0.5373,,48.5629,0.404,0.0482,0.575,0.1325,0.0815,0.0188,408.4086,0.949,3.9366,467.459,554.3564,0.3182,0.0331,0.3773
1317,Project,6,np.log(bm) ~ dfi + ndti + satvi + ndii7 + nir + swir1 + dfi:ndti + dfi:satvi + dfi:ndii7 + dfi:nir + dfi:swir1 + ndti:satvi + ndti:ndii7 + ndti:nir + ndti:swir1 + satvi:ndii7 + satvi:nir + satvi:swir1 + ndii7:nir + ndii7:swir1 + nir:swir1,NEX,0.6255,0.6018,563.9208,569.5094,54.1939,0.5868,0.3876,0.0369,0.4545,,45.6951,0.3896,0.0427,0.5935,0.1295,0.0841,0.0184,373.4359,0.8636,3.55,417.5747,485.6518,0.2842,0.0311,0.3305
1318,Project,6,np.log(bm) ~ dfi + ndti + satvi + ndii7 + nir + bai_136 + dfi:ndti + dfi:satvi + dfi:ndii7 + dfi:nir + dfi:bai_136 + ndti:satvi + ndti:ndii7 + ndti:nir + ndti:bai_136 + satvi:ndii7 + satvi:nir + satvi:bai_136 + ndii7:nir + ndii7:bai_136 + nir:bai_136,NEX,0.6227,0.5988,566.5908,574.8375,46.5673,0.5884,0.3912,0.0317,0.4236,,46.9847,0.3922,0.0372,0.6073,0.1396,0.0861,0.0198,380.9303,0.8797,3.5348,422.8815,486.1997,0.2878,0.032,0.3309
1319,Project,6,np.log(bm) ~ dfi + ndti + satvi + ndii7 + swir1 + bai_126 + dfi:ndti + dfi:satvi + dfi:ndii7 + dfi:swir1 + dfi:bai_126 + ndti:satvi + ndti:ndii7 + ndti:swir1 + ndti:bai_126 + satvi:ndii7 + satvi:swir1 + satvi:bai_126 + ndii7:swir1 + ndii7:bai_126 + swir1:bai_126,NEX,0.6406,0.6178,549.3838,560.0191,42.4938,0.4794,0.3812,0.0289,0.422,,27.6536,0.3845,0.0361,0.5786,0.109,0.082,0.0155,392.6716,0.9019,2.8786,418.1971,461.7603,0.2846,0.0188,0.3143
1320,Project,6,np.log(bm) ~ dfi + ndti + satvi + ndii7 + bai_126 + bai_136 + dfi:ndti + dfi:satvi + dfi:ndii7 + dfi:bai_126 + dfi:bai_136 + ndti:satvi + ndti:ndii7 + ndti:bai_126 + ndti:bai_136 + satvi:ndii7 + satvi:bai_126 + satvi:bai_136 + ndii7:bai_126 + ndii7:bai_136 + bai_126:bai_136,NEX,0.6151,0.5907,573.6097,638.7623,27.5087,0.4856,0.4348,0.0187,0.4637,,45.8459,0.4024,0.0439,0.595,0.1144,0.0844,0.0162,406.3213,0.9402,2.9311,450.9029,514.7668,0.3069,0.0312,0.3504
1321,Project,6,np.log(bm) ~ dfi + ndti + satvi + nir + swir1 + bai_246 + dfi:ndti + dfi:satvi + dfi:nir + dfi:swir1 + dfi:bai_246 + ndti:satvi + ndti:nir + ndti:swir1 + ndti:bai_246 + satvi:nir + satvi:swir1 + satvi:bai_246 + nir:swir1 + nir:bai_246 + swir1:bai_246,NEX,0.6359,0.6128,554.0395,577.6674,48.9314,0.5463,0.3932,0.0333,0.4431,,44.7142,0.3881,0.0487,0.6058,0.149,0.0859,0.0211,370.5888,0.8576,3.3036,419.082,489.5932,0.2852,0.0304,0.3332
1322,Project,6,np.log(bm) ~ dfi + ndti + satvi + nir + bai_136 + bai_246 + dfi:ndti + dfi:satvi + dfi:nir + dfi:bai_136 + dfi:bai_246 + ndti:satvi + ndti:nir + ndti:bai_136 + ndti:bai_246 + satvi:nir + satvi:bai_136 + satvi:bai_246 + nir:bai_136 + nir:bai_246 + bai_136:bai_246,NEX,0.6338,0.6105,556.0674,546.3952,33.6798,0.5757,0.3719,0.0229,0.4069,,35.336,0.3841,0.0426,0.6128,0.1581,0.0869,0.0224,379.8558,0.8764,3.4759,409.296,452.8079,0.2786,0.0241,0.3082
1323,Project,6,np.log(bm) ~ dfi + ndti + satvi + nir + bai_236 + bai_246 + dfi:ndti + dfi:satvi + dfi:nir + dfi:bai_236 + dfi:bai_246 + ndti:satvi + ndti:nir + ndti:bai_236 + ndti:bai_246 + satvi:nir + satvi:bai_236 + satvi:bai_246 + nir:bai_236 + nir:bai_246 + bai_236:bai_246,NEX,0.6451,0.6226,544.9506,574.5546,46.7772,0.4835,0.3911,0.0318,0.4478,,31.1432,0.3819,0.0334,0.5995,0.1316,0.085,0.0187,355.9428,0.8267,2.9044,415.3989,458.9029,0.2827,0.0212,0.3123
1324,Project,6,np.log(bm) ~ dfi + ndti + satvi + swir1 + bai_126 + bai_246 + dfi:ndti + dfi:satvi + dfi:swir1 + dfi:bai_126 + dfi:bai_246 + ndti:satvi + ndti:swir1 + ndti:bai_126 + ndti:bai_246 + satvi:swir1 + satvi:bai_126 + satvi:bai_246 + swir1:bai_126 + swir1:bai_246 + bai_126:bai_246,NEX,0.6476,0.6253,542.4509,575.593,39.8195,0.4225,0.3918,0.0271,0.4223,,32.6212,0.3847,0.0356,0.5717,0.1004,0.0811,0.0142,393.9129,0.9059,2.5235,427.3461,468.3824,0.2909,0.0222,0.3188
1325,Project,6,np.log(bm) ~ dfi + ndti + satvi + bai_126 + bai_136 + bai_246 + dfi:ndti + dfi:satvi + dfi:bai_126 + dfi:bai_136 + dfi:bai_246 + ndti:satvi + ndti:bai_126 + ndti:bai_136 + ndti:bai_246 + satvi:bai_126 + satvi:bai_136 + satvi:bai_246 + bai_126:bai_136 + bai_126:bai_246 + bai_136:bai_246,NEX,0.6092,0.5844,578.9714,641.3582,52.9676,0.4869,0.4365,0.0361,0.4758,,49.6981,0.4035,0.0451,0.5892,0.1151,0.0835,0.0163,384.7797,0.8932,2.9372,460.0444,519.0524,0.3131,0.0338,0.3533
1326,Project,6,np.log(bm) ~ dfi + ndti + satvi + bai_126 + bai_236 + bai_246 + dfi:ndti + dfi:satvi + dfi:bai_126 + dfi:bai_236 + dfi:bai_246 + ndti:satvi + ndti:bai_126 + ndti:bai_236 + ndti:bai_246 + satvi:bai_126 + satvi:bai_236 + satvi:bai_246 + bai_126:bai_236 + bai_126:bai_246 + bai_236:bai_246,NEX,0.6115,0.5869,576.9062,637.5265,70.0822,0.4883,0.4339,0.0477,0.4924,,57.332,0.4032,0.0456,0.5878,0.1134,0.0833,0.0161,395.0108,0.9164,2.9392,458.2128,531.0509,0.3119,0.039,0.3614
1327,Project,1,np.log(bm) ~ dfi,PDOG,0.0262,0.0225,547.9641,746.4022,68.695,0.2669,0.7795,0.0717,0.8957,,29.8735,0.5563,0.0476,0.6846,0.0661,0.1034,0.01,325.1964,0.7129,0.8588,502.2832,547.8377,0.5246,0.0312,0.5721
1328,Project,1,np.log(bm) ~ ndvi,PDOG,0.4762,0.4742,385.4989,572.6787,55.9671,0.1449,0.5981,0.0584,0.6591,,32.1936,0.4175,0.047,0.5071,0.0544,0.0766,0.0082,209.9223,0.4592,0.3951,395.0986,446.2582,0.4126,0.0336,0.466
1329,Project,1,np.log(bm) ~ ndti,PDOG,0.3288,0.3263,450.4444,615.0163,53.8101,0.185,0.6423,0.0562,0.6944,,21.9364,0.4608,0.0484,0.5689,0.0596,0.0859,0.009,260.9823,0.5716,0.5618,420.3065,448.1421,0.4389,0.0229,0.468
