Site,Disturbance,Exclosure,Date,Total Hits,hits_C4,hits_C3,hits_AnnGrass,hits_Forb,hits_Brome,hits_VUOC,hits_Subshrub,hits_SD,hits_Total,weight_Total,weight_C4,weight_C3,weight_Forb,weight_Brome,weight_VUOC,weight_AnnGrass,weight_Subshrub,weight_SD,Year
lake creek,prairie dog,out,2017-07-25,18,0,4,0,14,0,0,0,0,18,125.78,25.479999999999997,24.340000000000003,75.96000000000001,0.0,0.0,0.0,0.0,0.0,2017
lake creek,prairie dog,out,2018-07-30,21,8,2,2,9,0,2,0,0,21,178.79999999999998,26.58,22.12,127.58,0.0,2.42,2.42,0.0,0.1,2018
lake creek,prairie dog,out,2019-07-31,26,9,3,1,7,1,0,0,0,20,165.72,31.1,29.8,99.89999999999999,0.02,0.8,0.8200000000000001,3.2,0.9,2019
lake creek,prairie dog,out,2020-08-03,21,8,0,7,0,7,0,0,6,21,47.886,18.46,6.64,0.5,6.66,0.006,6.666,0.0,15.62,2020
lake creek,prairie dog,ungulate ex,2017-07-25,11,7,0,0,4,0,0,0,0,11,135.9,11.719999999999999,19.42,85.18,0.0,19.58,19.58,0.0,0.0,2017
lake creek,prairie dog,ungulate ex,2018-07-30,34,11,0,0,23,0,0,0,0,34,139.85999999999999,32.18,0.88,106.02,0.06,0.48,0.54,0.0,0.24,2018
lake creek,prairie dog,ungulate ex,2019-07-31,30,24,0,1,5,0,1,0,0,30,205.5,91.7,2.9,90.3,0.8,17.8,18.6,0.0,2.0,2019
lake creek,prairie dog,ungulate ex,2020-08-03,28,4,1,2,8,2,0,0,13,28,102.53999999999999,32.12,0.8,39.9,1.34,0.08,1.4200000000000002,0.0,28.3,2020
steckley,control,livestock ex,2017-07-17,29,0,10,1,0,1,0,0,0,11,76.41999999999999,0.0,72.25999999999999,0.22000000000000064,3.9400000000000013,0.0,3.9400000000000013,0.0,0.0,2017
steckley,control,livestock ex,2018-07-31,21,0,13,3,1,3,0,0,4,21,159.89999999999998,0.0,125.3,2.54,22.62,0.0,22.62,0.0,9.44,2018
steckley,control,livestock ex,2019-07-29,34,0,19,15,0,15,0,0,0,34,277.12,0.2,134.4,3.8200000000000003,126.1,0.0,126.1,0.0,12.6,2019
steckley,control,livestock ex,2020-08-10,21,0,19,2,0,2,0,0,0,21,69.4,0.1,30.42,0.24,6.08,0.0,6.08,0.0,32.56,2020
steckley,control,out,2017-07-17,17,0,10,7,0,7,0,0,0,17,87.02,0.0,78.12,0.52,8.379999999999999,0.0,8.379999999999999,0.0,0.0,2017
steckley,control,out,2018-07-31,43,13,12,17,0,17,0,0,0,42,214.14,31.16,96.5,3.52,62.42,0.0,62.42,0.0,20.54,2018
steckley,control,out,2019-07-29,75,0,25,40,1,40,0,0,9,75,363.3999999999999,1.3,221.1,7.6000000000000005,132.5,0.0,132.5,0.0,0.9,2019
steckley,control,out,2020-08-10,8,3,1,4,0,4,0,0,0,8,57.72,3.64,31.2,0.58,13.3,0.0,13.3,0.0,9.0,2020
steckley,control,ungulate ex,2017-07-17,0,0,0,0,0,0,0,0,0,0,37.80000000000001,31.640000000000008,3.7600000000000016,0.0,0.0,0.0,0.0,2.400000000000002,0.0,2017
steckley,control,ungulate ex,2018-07-31,22,20,2,0,0,0,0,0,0,22,118.50923,86.06,23.44,0.3,0.16,0.00923,0.16923,0.0,8.54,2018
steckley,control,ungulate ex,2019-07-29,34,33,1,0,0,0,0,0,0,34,76.18,59.4,14.3,1.7999999999999998,0.0,0.08,0.08,0.0,0.6,2019
steckley,control,ungulate ex,2020-08-10,8,7,1,0,0,0,0,0,0,8,34.080600000000004,19.32,1.8,0.0256,0.44,0.015,0.455,0.0,12.48,2020
steckley,fire,livestock ex,2017-07-17,2,0,2,0,0,0,0,0,0,2,235.89999999999998,148.06,47.519999999999996,0.0,40.31999999999999,0.0,40.31999999999999,0.0,0.0,2017
steckley,fire,livestock ex,2018-07-31,49,29,7,6,1,6,0,0,6,49,276.36,102.5,24.74,14.18,59.24,0.78,60.02,0.0,74.92,2018
steckley,fire,livestock ex,2019-07-30,39,11,3,24,1,24,0,0,0,39,180.2,62.3,10.4,10.5,94.3,0.6,94.89999999999999,0.0,2.1,2019
steckley,fire,out,2017-07-17,8,0,8,0,0,0,0,0,0,8,153.82,99.63999999999999,53.6,0.0,0.5800000000000001,0.0,0.5800000000000001,0.0,0.0,2017
steckley,fire,out,2018-07-31,62,47,7,0,0,0,0,0,8,62,291.96000000000004,20.46,118.46,12.3,72.58,0.26,72.84,0.0,67.9,2018
steckley,fire,out,2019-07-30,22,7,5,9,1,9,0,0,0,22,96.32,37.9,30.7,6.72,20.7,0.0,20.7,0.0,0.3,2019
steckley,fire,ungulate ex,2017-07-17,21,0,13,8,0,8,0,0,0,21,264.06000000000006,0.0,229.26000000000002,1.3600000000000012,33.440000000000005,0.0,33.440000000000005,0.0,0.0,2017
steckley,fire,ungulate ex,2018-07-31,50,12,0,37,1,37,0,0,0,50,231.4,58.88,7.44,8.36,113.94,0.74,114.67999999999999,0.0,42.04,2018
steckley,fire,ungulate ex,2019-07-30,74,0,47,21,6,21,0,0,0,74,447.06,13.6,384.0,4.1,45.1,0.0,45.1,0.0,0.26,2019
steckley,prairie dog,livestock ex,2017-07-17,24,0,24,0,0,0,0,0,0,24,92.33999999999999,0.0,90.91999999999999,1.42,0.0,0.0,0.0,0.0,0.0,2017
steckley,prairie dog,livestock ex,2018-07-31,22,0,19,0,3,0,0,0,0,22,251.66,0.0,246.12,4.98,0.0,0.04,0.04,0.0,0.52,2018
steckley,prairie dog,livestock ex,2019-07-29,66,0,55,0,9,0,0,0,2,66,444.6199999999999,0.2,430.2,12.8,0.9,0.02,0.92,0.0,0.5,2019
steckley,prairie dog,livestock ex,2020-08-10,56,0,10,0,0,0,0,0,46,56,107.68,0.0,29.5,0.0,0.0,0.0,0.0,0.0,78.18,2020
steckley,prairie dog,out,2017-07-17,25,0,25,0,0,0,0,0,0,25,141.92000000000002,0.2799999999999976,141.34,0.29999999999999716,0.0,0.0,0.0,0.0,0.0,2017
steckley,prairie dog,out,2018-07-31,19,0,18,0,1,0,0,0,0,19,275.72,0.0,267.36,6.14,0.0,0.0,0.0,0.0,2.22,2018
steckley,prairie dog,out,2019-07-29,28,0,26,0,2,0,0,0,0,28,434.15999999999997,0.14,423.6,4.92,4.3,0.0,4.3,0.0,1.2,2019
steckley,prairie dog,out,2020-08-10,31,0,8,0,3,0,0,0,20,31,155.56,0.0,62.2,1.54,0.0,0.0,0.0,0.0,91.82,2020
steckley,prairie dog,ungulate ex,2017-07-17,19,0,19,0,0,0,0,0,0,19,205.64,0.0,205.64,0.0,0.0,0.0,0.0,0.0,0.0,2017
steckley,prairie dog,ungulate ex,2018-07-31,34,0,17,0,17,0,0,0,0,34,324.02000000000004,0.0,299.8,13.1,0.0,0.0,0.0,0.0,11.12,2018
steckley,prairie dog,ungulate ex,2019-07-29,69,0,52,0,8,0,0,0,9,69,485.6,0.6,426.2,55.6,0.0,0.0,0.0,0.0,3.2,2019
steckley,prairie dog,ungulate ex,2020-08-10,21,0,12,0,2,0,0,0,7,21,82.0,0.0,59.72,6.7,0.0,0.0,0.0,0.0,15.58,2020
west fork,control,livestock ex,2017-07-19,20,0,17,1,2,1,0,0,0,20,162.92,9.120000000000001,87.97999999999999,9.879999999999999,2.5600000000000023,0.0,2.5600000000000023,53.379999999999995,0.0,2017
west fork,control,livestock ex,2018-08-01,23,4,2,12,4,12,0,0,0,22,246.42000000000002,6.82,103.94,24.28,51.42,0.0,51.42,0.04,59.92,2018
west fork,control,livestock ex,2019-08-07,29,0,4,18,2,18,0,3,2,29,143.1,0.0,78.1,34.1,7.9,0.0,7.9,0.2,22.8,2019
west fork,control,livestock ex,2020-08-05,17,0,0,8,1,8,0,1,7,17,157.36,0.0,3.96,5.3,52.1,0.0,52.1,28.3,67.7,2020
west fork,control,out,2017-07-19,26,0,16,0,0,0,0,10,0,26,185.84,1.8000000000000007,93.18,0.9000000000000004,1.4399999999999977,0.3600000000000012,1.799999999999999,88.16,0.0,2017
west fork,control,out,2018-08-01,16,0,13,3,0,3,0,0,0,16,187.45999999999998,23.88,95.36,5.24,8.88,0.2,9.08,9.1,44.8,2018
west fork,control,out,2019-08-07,14,1,12,0,1,0,0,0,0,14,232.10000000000002,17.8,116.3,3.5,0.5,0.0,0.5,22.8,71.2,2019
west fork,control,out,2020-08-05,15,0,8,1,0,1,0,0,6,15,112.5144,4.7,51.4,0.54,6.76,0.0744,6.8344,0.76,48.28,2020
west fork,control,ungulate ex,2017-07-19,22,15,7,0,0,0,0,0,0,22,102.0,14.060000000000002,80.6,0.9000000000000004,6.379999999999999,0.0600000000000005,6.4399999999999995,0.0,0.0,2017
west fork,control,ungulate ex,2018-08-01,20,2,8,0,0,0,0,0,0,10,122.34,11.2,51.5,1.24,0.18,0.02,0.19999999999999998,44.1,14.1,2018
west fork,control,ungulate ex,2019-08-07,27,0,0,1,3,1,0,3,5,12,30.22,6.2,0.0,3.0,,0.02,,0.0,21.0,2019
west fork,control,ungulate ex,2020-08-05,10,3,2,2,0,2,0,1,2,10,121.57640000000002,4.7,24.44,0.6,11.22,0.3164,11.5364,22.1,58.2,2020
west fork,fire,livestock ex,2017-07-19,19,0,19,0,0,0,0,0,0,19,139.18,13.280000000000001,115.9,10.0,0.0,0.0,0.0,0.0,0.0,2017
west fork,fire,livestock ex,2018-08-01,10,0,7,0,3,0,0,0,0,10,235.84,1.44,107.24,98.24,0.0,0.0,0.0,1.86,27.06,2018
west fork,fire,livestock ex,2019-08-07,23,0,20,0,3,0,0,0,0,23,198.70000000000002,0.0,153.8,10.5,0.3,0.0,0.3,0.0,34.1,2019
west fork,fire,livestock ex,2020-08-05,24,2,17,5,0,5,0,0,0,24,155.27999999999997,2.14,78.8,1.06,3.18,0.0,3.18,0.0,70.1,2020
west fork,fire,out,2017-07-19,17,0,13,0,4,0,0,0,0,17,117.68,10.5,94.78,11.260000000000002,1.1400000000000006,0.0,1.1400000000000006,0.0,0.0,2017
west fork,fire,out,2018-08-01,24,11,9,4,0,4,0,0,0,24,227.31999999999996,7.42,142.38,14.64,19.98,0.0,19.98,0.0,42.9,2018
west fork,fire,out,2019-08-07,13,0,9,0,0,0,0,4,0,13,127.30000000000001,2.2,84.5,2.3,6.5,0.0,6.5,5.5,26.3,2019
west fork,fire,out,2020-08-05,12,3,7,0,1,0,0,0,1,12,76.82000000000001,8.9,44.14,5.359999999999999,0.0,0.0,0.0,3.12,15.3,2020
west fork,fire,ungulate ex,2017-07-19,20,0,15,2,3,2,0,0,0,20,177.92,0.4599999999999973,155.56,16.039999999999996,5.859999999999999,0.0,5.859999999999999,0.0,0.0,2017
west fork,fire,ungulate ex,2018-08-01,26,4,10,6,3,6,0,0,3,26,224.54000000000002,24.64,136.72,22.0,11.1,0.0,11.1,0.0,30.08,2018
west fork,fire,ungulate ex,2019-08-07,51,0,19,30,2,30,0,0,0,51,272.50000000000006,9.5,150.9,41.4,61.9,0.0,61.9,0.0,8.8,2019
west fork,fire,ungulate ex,2020-08-05,24,1,1,8,1,8,0,0,5,16,73.67999999999999,5.56,17.46,5.1,18.28,0.0,18.28,0.0,27.28,2020
west fork,prairie dog,livestock ex,2017-07-19,9,0,9,0,0,0,0,0,0,9,85.3,0.0,84.66,0.6400000000000006,0.0,0.0,0.0,0.0,0.0,2017
west fork,prairie dog,livestock ex,2018-08-01,18,2,10,0,6,0,0,0,0,18,133.61999999999998,0.88,103.36,25.96,0.5,0.0,0.5,0.0,2.92,2018
west fork,prairie dog,livestock ex,2019-08-07,24,0,13,0,5,0,0,0,6,24,56.400000000000006,0.0,,41.2,0.0,0.0,0.0,0.0,15.2,2019
west fork,prairie dog,livestock ex,2020-08-05,22,0,6,0,2,0,0,0,14,22,145.06,0.0,56.86,6.4,0.0,0.0,0.0,0.0,81.8,2020
west fork,prairie dog,out,2017-07-19,21,1,17,0,3,0,0,0,0,21,90.19999999999999,1.3399999999999999,66.67999999999999,22.16,0.0,0.020000000000000018,0.020000000000000018,0.0,0.0,2017
west fork,prairie dog,out,2018-08-01,17,10,4,0,3,0,0,0,0,17,150.6,5.92,96.62,46.68,0.0,0.0,0.0,0.1,1.28,2018
west fork,prairie dog,out,2019-08-07,26,0,15,0,9,0,0,0,2,26,208.00000000000003,0.0,150.3,50.199999999999996,0.0,0.4,0.4,0.0,7.1,2019
west fork,prairie dog,out,2020-08-05,13,0,4,0,0,0,0,0,9,13,114.22,0.0,33.5,0.7999999999999999,0.0,0.0,0.0,0.9,79.02,2020
west fork,prairie dog,ungulate ex,2017-07-19,8,0,7,0,1,0,0,0,0,8,41.16000000000001,0.3000000000000007,26.080000000000005,14.780000000000001,0.0,0.0,0.0,0.0,0.0,2017
west fork,prairie dog,ungulate ex,2018-08-01,16,0,10,0,6,0,0,0,0,16,165.44,3.22,117.7,37.82,0.0,0.0,0.0,0.0,6.7,2018
west fork,prairie dog,ungulate ex,2019-08-07,28,0,22,0,4,0,0,0,2,28,309.06,0.8,253.7,40.2,0.0,0.06,0.06,0.0,14.3,2019
west fork,prairie dog,ungulate ex,2020-08-05,46,0,22,0,0,0,0,0,24,46,271.9296,0.0,63.2,0.3296,0.0,0.0,0.0,0.0,208.4,2020
wildcat,control,livestock ex,2017-07-18,23,0,23,0,0,0,0,0,0,23,70.97999999999999,10.379999999999999,59.379999999999995,1.2200000000000006,0.0,0.0,0.0,0.0,0.0,2017
wildcat,control,livestock ex,2018-08-02,32,8,24,0,0,0,0,0,0,32,242.38,48.9,157.38,4.2,3.3,0.9,4.2,0.0,27.7,2018
wildcat,control,livestock ex,2019-08-05,47,5,40,0,0,0,0,0,2,47,190.26,36.3,126.9,2.9,0.06,0.0,0.06,0.0,24.1,2019
wildcat,control,livestock ex,2020-08-06,15,4,11,0,0,0,0,0,0,15,69.155,11.46,38.86,0.0332,0.0218,0.04,0.0618,0.0,18.74,2020
wildcat,control,livestock ex,2021-08-02,0,0,0,0,0,0,0,0,0,0,74.28,16.72,29.74,1.58,0.0,0.0,0.0,0.0,26.24,2021
wildcat,control,out,2017-07-18,24,12,12,0,0,0,0,0,0,24,51.199999999999996,9.899999999999999,40.26,1.0399999999999991,0.0,0.0,0.0,0.0,0.0,2017
wildcat,control,out,2018-08-02,29,9,20,0,0,0,0,0,0,29,96.53999999999998,45.54,46.22,2.36,0.22,0.38,0.6,0.0,1.82,2018
wildcat,control,out,2019-08-05,9,3,6,0,0,0,0,0,0,9,56.72000000000001,18.1,33.7,3.8000000000000003,0.02,0.0,0.02,0.0,1.1,2019
wildcat,control,out,2020-08-06,16,5,8,0,0,0,0,0,0,13,58.26,6.76,28.0,3.6,0.0,,,0.0,19.9,2020
wildcat,control,out,2021-08-02,18,11,3,0,0,0,0,0,4,18,48.3,16.22,19.06,1.62,0.0,0.0,0.0,0.0,11.4,2021
wildcat,control,ungulate ex,2017-07-18,18,7,11,0,0,0,0,0,0,18,126.17999999999999,7.599999999999998,116.0,1.9400000000000013,0.6400000000000006,0.0,0.6400000000000006,0.0,0.0,2017
wildcat,control,ungulate ex,2018-08-02,16,8,3,1,0,1,0,0,4,16,100.58000000000001,39.5,30.26,13.4,8.16,1.14,9.3,0.0,8.12,2018
wildcat,control,ungulate ex,2019-08-05,10,0,0,0,0,0,0,10,0,10,26.900000000000002,0.0,0.6,0.8,0.4,0.0,0.4,25.1,0.0,2019
wildcat,control,ungulate ex,2020-08-06,9,2,4,0,0,0,0,0,3,9,59.96000000000001,10.2,21.2,1.16,1.1,0.0,1.1,0.0,26.3,2020
wildcat,control,ungulate ex,2021-08-02,10,5,5,0,0,0,0,0,0,10,3.38,0.0,0.6,0.0,0.0,0.0,0.0,2.42,0.36,2021
wildcat,fire,livestock ex,2017-07-18,19,18,1,0,0,0,0,0,0,19,96.34,30.800000000000004,63.88,1.0,0.33999999999999986,0.3200000000000003,0.6600000000000001,0.0,0.0,2017
wildcat,fire,livestock ex,2018-08-06,50,16,17,17,0,12,5,0,0,50,289.82,71.78,108.12,5.8,74.76,2.84,77.60000000000001,0.0,26.52,2018
wildcat,fire,livestock ex,2019-08-05,35,7,6,6,3,6,0,0,13,35,265.14,33.0,112.7,11.3,23.0,0.04,23.04,0.0,85.1,2019
wildcat,fire,livestock ex,2020-08-06,22,7,4,1,0,1,0,0,10,22,130.88320000000002,20.4,27.6,0.1,7.1,0.0032,7.103199999999999,0.0,75.68,2020
wildcat,fire,livestock ex,2021-08-02,9,4,5,0,0,0,0,0,0,9,31.3,19.66,0.94,1.22,0.04,0.0,0.04,0.0,9.44,2021
wildcat,fire,out,2017-07-18,11,0,11,0,0,0,0,0,0,11,124.07999999999998,2.6400000000000006,120.41999999999999,0.0,0.41999999999999815,0.0,0.41999999999999815,0.6000000000000014,0.0,2017
wildcat,fire,out,2018-08-06,24,3,7,14,0,6,8,0,0,24,317.58,16.74,260.28,1.86,6.16,13.28,19.439999999999998,0.0,19.26,2018
wildcat,fire,out,2019-08-05,33,6,8,17,2,17,0,0,0,33,203.1,42.7,86.6,2.6,33.7,0.6,34.300000000000004,0.0,36.9,2019
wildcat,fire,out,2020-08-06,22,7,4,1,0,1,0,0,0,22,60.52,10.4,21.4,0.0,12.88,0.0,12.88,0.0,15.84,2020
wildcat,fire,out,2021-08-02,6,3,3,0,0,0,0,0,0,6,54.1,6.08,37.28,0.0,0.0,0.0,0.0,0.0,10.74,2021
wildcat,fire,ungulate ex,2017-07-18,22,0,22,0,0,0,0,0,0,22,121.25999999999999,0.0,120.72,0.2400000000000002,0.3000000000000007,0.0,0.3000000000000007,0.0,0.0,2017
wildcat,fire,ungulate ex,2018-08-06,12,0,9,1,0,1,0,0,2,12,541.18,0.0,400.2,3.58,76.88,0.06,76.94,0.0,60.46,2018
wildcat,fire,ungulate ex,2019-08-05,41,1,11,7,4,5,2,0,18,41,368.29999999999995,2.9,220.2,18.0,10.2,0.9,11.1,0.0,116.1,2019
wildcat,fire,ungulate ex,2020-08-06,16,0,7,4,0,4,0,0,5,16,104.06,0.0,80.04,0.0,3.5,0.0,3.5,0.0,20.52,2020
wildcat,fire,ungulate ex,2021-08-02,7,0,7,0,0,0,0,0,0,7,69.76,5.64,39.14,0.0,0.0,0.0,0.0,0.0,24.98,2021
wildcat,prairie dog,livestock ex,2017-07-18,3,0,3,0,0,0,0,0,0,3,38.74000000000001,0.0,29.080000000000005,9.66,0.0,0.0,0.0,0.0,0.0,2017
wildcat,prairie dog,livestock ex,2018-08-02,37,0,31,0,6,0,0,0,0,37,184.22000000000003,0.0,154.84,28.34,0.8,0.02,0.8200000000000001,0.0,0.22,2018
wildcat,prairie dog,livestock ex,2019-08-05,24,0,0,0,24,0,0,0,0,24,222.8,0.0,0.0,216.5,0.0,0.0,0.0,0.0,6.3,2019
wildcat,prairie dog,livestock ex,2020-08-06,4,0,1,0,3,0,0,0,0,4,158.16,0.48,57.76,23.060000000000002,0.0,0.0,0.0,0.0,76.86,2020
wildcat,prairie dog,out,2017-07-18,5,0,5,0,0,0,0,0,0,5,37.06,0.0,34.76,2.3000000000000007,0.0,0.0,0.0,0.0,0.0,2017
wildcat,prairie dog,out,2018-08-02,51,0,38,0,13,0,0,0,0,51,414.61999999999995,0.0,397.18,14.78,0.0,0.08,0.08,0.0,2.58,2018
wildcat,prairie dog,out,2019-08-05,36,0,21,1,5,0,1,0,9,36,303.2,0.0,210.9,49.0,0.0,6.6,6.6,0.0,36.7,2019
wildcat,prairie dog,out,2020-08-06,16,0,1,5,0,0,5,0,10,16,157.232,0.4,40.9,2.3438,0.0482,4.48,4.5282,0.0,109.06,2020
wildcat,prairie dog,ungulate ex,2017-07-18,17,0,17,0,0,0,0,0,0,17,123.29999999999998,0.0,123.29999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2017
wildcat,prairie dog,ungulate ex,2018-08-02,46,0,40,0,6,0,0,0,0,46,530.9000000000001,0.0,439.06,16.18,0.0,0.54,0.54,0.0,75.12,2018
wildcat,prairie dog,ungulate ex,2019-08-05,37,0,17,0,6,0,0,0,14,37,352.9,0.0,284.2,21.3,0.0,0.5,0.5,0.0,46.9,2019
wildcat,prairie dog,ungulate ex,2020-08-06,49,0,2,1,8,0,1,0,38,49,327.65999999999997,0.0,53.8,47.74,0.0,0.36,0.36,0.0,225.76,2020
